id,source_location_id,target_location_id,distance_m,travel_time_mins,condition_score,penalty_weight
RD-UG-026,LOC-UG-14,LOC-UG-15,420.0,4,4.1,43
RD-UG-027,LOC-UG-15,LOC-UG-38,310.0,3,4.3,43
RD-UG-028,LOC-UG-22,LOC-UG-39,450.0,4,3.7,43
RD-UG-029,LOC-UG-39,LOC-UG-40,80.0,1,4.9,43
RD-UG-030,LOC-UG-40,LOC-UG-41,90.0,1,4.9,43
RD-UG-031,LOC-UG-41,LOC-UG-42,260.0,2,4.0,43
RD-UG-032,LOC-UG-21,LOC-UG-48,480.0,4,4.4,43
RD-UG-033,LOC-UG-48,LOC-UG-49,110.0,1,4.8,43
RD-UG-034,LOC-UG-49,LOC-UG-43,300.0,3,3.8,43
RD-UG-035,LOC-UG-43,LOC-UG-31,230.0,2,4.5,43
RD-UG-036,LOC-UG-31,LOC-UG-32,320.0,3,4.6,43
RD-UG-037,LOC-UG-32,LOC-UG-52,290.0,2,4.4,43
RD-UG-038,LOC-UG-52,LOC-UG-51,350.0,3,4.7,43
RD-UG-039,LOC-UG-01,LOC-UG-44,210.0,2,5.0,43
RD-UG-040,LOC-UG-44,LOC-UG-02,180.0,2,4.9,43
RD-UG-041,LOC-UG-02,LOC-UG-33,90.0,1,4.8,43
RD-UG-042,LOC-UG-17,LOC-UG-34,140.0,1,4.7,43
RD-UG-043,LOC-UG-34,LOC-UG-35,120.0,1,4.6,43
RD-UG-044,LOC-UG-07,LOC-UG-36,270.0,2,4.1,43
RD-UG-045,LOC-UG-36,LOC-UG-37,200.0,2,4.3,43
RD-UG-046,LOC-UG-06,LOC-UG-45,150.0,1,4.4,43
RD-UG-047,LOC-UG-46,LOC-UG-10,130.0,1,4.6,43
RD-UG-048,LOC-UG-47,LOC-UG-09,110.0,1,4.7,43
RD-UG-049,LOC-UG-08,LOC-UG-50,140.0,1,4.5,43
RD-UG-050,LOC-UG-16,LOC-UG-30,950.0,9,3.5,43
RD-UG-051,LOC-UG-28,LOC-UG-29,620.0,6,3.9,43
RD-UG-052,LOC-UG-23,LOC-UG-01,70.0,1,5.0,43
RD-UG-053,LOC-UG-23,LOC-UG-25,220.0,2,4.8,43
RD-UG-054,LOC-UG-18,LOC-UG-46,280.0,2,4.5,43
RD-UG-055,LOC-UG-21,LOC-UG-23,890.0,8,4.2,43
RD-UG-056,LOC-UG-22,LOC-UG-23,760.0,7,4.3,43
RD-UG-057,LOC-UG-47,LOC-UG-23,610.0,5,4.4,43
RD-UG-058,LOC-UG-09,LOC-UG-16,200.0,2,4.6,43
RD-UG-059,LOC-UG-02,LOC-UG-24,190.0,2,4.9,43
RD-UG-060,LOC-UG-03,LOC-UG-33,90.0,1,5.0,43
RD-UG-061,LOC-UG-04,LOC-UG-28,410.0,4,4.2,43
RD-UG-062,LOC-UG-05,LOC-UG-28,380.0,3,4.3,43
RD-UG-063,LOC-UG-11,LOC-UG-14,190.0,2,4.7,43
RD-UG-064,LOC-UG-12,LOC-UG-15,310.0,3,4.4,43
RD-UG-065,LOC-UG-39,LOC-UG-42,280.0,2,4.1,43
RD-UG-066,LOC-UG-48,LOC-UG-43,360.0,3,4.0,43
RD-UG-067,LOC-UG-49,LOC-UG-18,410.0,4,4.3,43
RD-UG-068,LOC-UG-44,LOC-UG-25,270.0,2,4.8,43
RD-UG-069,LOC-UG-37,LOC-UG-38,330.0,3,4.2,43
RD-UG-070,LOC-UG-19,LOC-UG-25,160.0,1,4.9,43
RD-UG-071,LOC-UG-06,LOC-UG-18,460.0,4,4.1,43
RD-UG-072,LOC-UG-07,LOC-UG-17,390.0,3,4.3,43
RD-UG-073,LOC-UG-08,LOC-UG-01,230.0,2,4.7,43
RD-UG-074,LOC-UG-10,LOC-UG-43,510.0,4,3.9,43
RD-UG-075,LOC-UG-16,LOC-UG-27,450.0,4,4.2,43
RD-UG-076,LOC-UG-24,LOC-UG-26,320.0,3,4.4,43
RD-UG-077,LOC-UG-29,LOC-UG-15,710.0,6,3.8,43
RD-UG-078,LOC-UG-30,LOC-UG-28,880.0,8,3.6,43
RD-UG-079,LOC-UG-31,LOC-UG-48,390.0,3,4.4,43
RD-UG-080,LOC-UG-32,LOC-UG-51,480.0,4,4.5,43
RD-UG-081,LOC-UG-33,LOC-UG-44,210.0,2,4.8,43
RD-UG-082,LOC-UG-34,LOC-UG-19,250.0,2,4.6,43
RD-UG-083,LOC-UG-35,LOC-UG-01,310.0,3,4.5,43
RD-UG-084,LOC-UG-36,LOC-UG-08,340.0,3,4.2,43
RD-UG-085,LOC-UG-45,LOC-UG-07,290.0,2,4.3,43
RD-UG-086,LOC-UG-46,LOC-UG-21,630.0,5,4.0,43
RD-UG-087,LOC-UG-47,LOC-UG-16,210.0,2,4.7,43
RD-UG-088,LOC-UG-50,LOC-UG-19,220.0,2,4.6,43
RD-UG-089,LOC-UG-11,LOC-UG-39,340.0,3,4.2,43
RD-UG-090,LOC-UG-12,LOC-UG-40,320.0,3,4.3,43
RD-UG-091,LOC-UG-13,LOC-UG-41,300.0,3,4.4,43
RD-UG-092,LOC-UG-14,LOC-UG-42,310.0,3,4.3,43
RD-UG-093,LOC-UG-15,LOC-UG-29,590.0,5,3.9,43
RD-UG-094,LOC-UG-17,LOC-UG-20,270.0,2,4.6,43
RD-UG-095,LOC-UG-18,LOC-UG-49,410.0,4,4.2,43
RD-UG-096,LOC-UG-20,LOC-UG-01,150.0,1,4.9,43
RD-UG-097,LOC-UG-21,LOC-UG-31,520.0,4,4.3,43
RD-UG-098,LOC-UG-22,LOC-UG-42,380.0,3,4.1,43
RD-UG-099,LOC-UG-24,LOC-UG-44,220.0,2,4.8,43
RD-UG-100,LOC-UG-26,LOC-UG-28,490.0,4,4.2,43
RD-UG-101,LOC-UG-27,LOC-UG-30,780.0,7,3.7,43
RD-UG-102,LOC-UG-35,LOC-UG-17,140.0,1,4.8,43
RD-UG-103,LOC-UG-38,LOC-UG-29,540.0,5,4.0,43
RD-UG-104,LOC-UG-43,LOC-UG-32,380.0,3,4.4,43
RD-UG-105,LOC-UG-51,LOC-UG-43,620.0,5,4.2,43
